id,totalMinedBlocks,totalRewards
qzpwZJt8wSyVLTXJe28rRuFBYBar2iAcU2J6CCa58PdVed9WT,124,1170074670752177
qzpK6YNygfbbh5d4xsjiBMS6k9mVSGkLgx25LiGARnzuHw2ha,123,1150085338002488
qznxEXFjN3wDxU1S247F9nc58y8c4QWyXRQBQjbysFBtmqjKx,121,1130085758990252
qznti68ayntXygP8CRPJCvt2ppKZ4QzidC6PevvAh4RQPaReM,121,1150064003501866
qzmmjMGJnzJC3Ey485mR6uLf8Suw7bMP2ps1xyTpoU3CgTTrW,120,1120085338002488
qzpyhv3GBQyH2XabDcbEDzYrxMzgn5f9NJGKdv6XcfnmYZX6M,120,1180021334500618
qzpQkQpofEkv7Kh5WYgsaxG5o2Sx6yvf44FM5kgbRCF5ftTpQ,119,1180010667250309
qzmXTTfAzhw8rCUbfrdq6ZLCqBCbsXBNyuF92mrtC1umBNNgD,119,1160032001750933
qzjgQZYb2ASjtZ4oEojNNHSybmBqJDDgTXvRGyMDAaroaPqVf,118,1130053336251555
qzpS2fu7AqMP49gEfCp8s8GKexvkFuvzQ9CAngrGVywtSrkb7,115,1140010667250309
qzk7PyK5kpKbWaVWPSe3QkGyUzwZww2u2SWxmNbWyGdXeMWM8,114,1080064003501866
qzjmWF8mSSATTxbub5TUgf3eALsasejKLBbwyb1xVoDGdbmmW,113,1090042669001244
qzpZ2BmcWWwdSKEj8puvoyyMzaPSpEtGY51Cva9j9TE7qS8EW,110,1040064003501866
qzoBKTFdcWpoDstmQ6K4fLcuAj3vEKLkiZY9jXw4yXUrKm6zS,108,1020064003501866
qzpwecobeg67qddtpgwXftC2WEHYigUrYjG8YQyeXJFdG1nz5,107,1020053336251555
qzmMkBGg5Pkfc8dYPFMUq5WFQge2K9tCDw7FzYjxNHP9LPz8d,107,1030042908969407
qzq48k3inPqJbwXQVx5QUh2psZSHCg69BnedL3YZ2B6nUSzGz,107,1010074670752177
